home_team,away_team,ou_lines,avg_over,avg_under,implied_xg
Alemania,Argentina,2.5,2.37,1.5575,2.2721499375111613
Brasil,Países Bajos,2.5,1.675,2.1375,2.928735939430375
Países Bajos,Argentina,2.5,2.445,1.535,2.231343902942399
Brasil,Alemania,2.5,2.425,1.535,2.2386331568080604
Países Bajos,Costa Rica,2.5,2.075,1.7225,2.4898782701144055
Argentina,Bélgica,2.5,2.1975,1.65,2.394485766554905
Brasil,Colombia,2.5,2.2025,1.6425,2.3880963535585966
Francia,Alemania,2.5,2.2025,1.64,2.386672848893084
Bélgica,EE. UU.,2.5,2.26,1.6125,2.3470480496645005
Argentina,Suiza,2.5,1.7875,1.985,2.7817149880966388
Alemania,Argelia,2.5,1.63,2.2275,3.002842843183305
Francia,Nigeria,2.5,1.7775,2.0025,2.7967108876742635
Costa Rica,Grecia,1.5,1.5675,2.32,2.0103359766674327
Países Bajos,México,2.5,2.1725,1.655,2.4080656596552164
Colombia,Uruguay,2.5,2.3375,1.5725,2.293263256094026
Brasil,Chile,2.5,1.76,2.025,2.818761665705417
Argelia,Rusia,2.5,2.12,1.6725,2.441139902813155
Corea del Sur,Bélgica,2.5,1.8025,1.9575,2.758566808226382
EE. UU.,Alemania,2.5,1.9025,1.8875,2.66604350165088
Portugal,Ghana,3.5,2.0025,1.7525,3.5155129029833394
Ecuador,Francia,2.5,1.63,2.225,3.0016188150030376
Honduras,Suiza,2.5,1.6975,2.105,2.8980399817829703
Nigeria,Argentina,2.5,1.695,2.1025,2.8983447327882828
Bosnia-Herzegovina,Irán,2.5,2.1275,1.6825,2.4434497765386607
Japón,Colombia,2.5,1.7125,2.0775,2.874669344724066
Grecia,Costa de Marfil,2.5,2.01,1.7725,2.548654392931597
Costa Rica,Inglaterra,2.5,1.74,2.05,2.843697312991612
Italia,Uruguay,2.5,1.9525,1.85,2.619769386907639
Camerún,Brasil,3.5,1.8675,1.87,3.6736550472533014
Croacia,México,2.5,2.0475,1.7375,2.511169729130048
Australia,España,3.5,2.125,1.67,3.392728991071515
Países Bajos,Chile,2.5,1.765,2.0175,2.8118968237436754
EE. UU.,Portugal,2.5,1.745,2.04,2.8355177617837084
Corea del Sur,Argelia,1.5,1.4725,2.525,2.144298268302502
Bélgica,Rusia,2.5,2.385,1.5425,2.2578100404816643
Nigeria,Bosnia-Herzegovina,2.5,1.82,1.9475,2.743295002148938
Alemania,Ghana,3.5,2.385,1.55,3.1839291231060236
Argentina,Irán,2.5,1.56,2.3775,3.123067119723381
Honduras,Ecuador,2.5,1.7625,2.015,2.8120827977084146
Suiza,Francia,2.5,2.1725,1.67,2.416564103811151
Italia,Costa Rica,2.5,1.9875,1.79,2.569387119931863
Japón,Grecia,2.5,2.065,1.7225,2.494539737072594
Uruguay,Inglaterra,2.5,1.6925,2.115,2.9062548650866282
Colombia,Costa de Marfil,2.5,1.9775,1.795,2.577121250418951
Camerún,Croacia,2.5,1.915,1.855,2.6419194356202227
España,Chile,2.5,1.61,2.2675,3.0358064911883944
Australia,Países Bajos,2.5,1.585,2.3125,3.074668916585473
Rusia,Corea del Sur,2.5,2.152,1.654,2.4164263177462337
Brasil,México,2.5,1.6525,2.1625,2.9558295788503948
Bélgica,Argelia,2.5,1.704,2.092,2.887359576347633
Ghana,EE. UU.,2.5,2.188,1.644,2.395131622653909
Irán,Nigeria,2.5,2.316,1.576,2.303666334092726
Alemania,Portugal,2.5,1.8,1.982,2.772899464533975
Argentina,Bosnia-Herzegovina,2.5,1.582,2.32,3.0803422412361625
Francia,Honduras,2.5,1.752,2.03,2.8261356895624408
Suiza,Ecuador,2.5,2.236,1.608,2.3543268213575335
Costa de Marfil,Japón,2.5,2.09,1.72,2.4815424442318634
Inglaterra,Italia,2.5,2.43,1.534,2.2362247651215585
Uruguay,Costa Rica,2.5,2.174,1.658,2.409120154944167
Colombia,Grecia,1.5,1.556,2.36,2.0322607684043534
Chile,Australia,2.5,1.912,1.87,2.651606215410028
España,Países Bajos,2.5,2.286,1.59,2.3236265838570778
México,Camerún,1.5,1.46,2.574,2.170078287891868
Brasil,Croacia,2.5,1.998,1.782,2.5597853327327824
