home_team,away_team,ou_line,avg_over,avg_under
Argentina,Francia,2.25,1.94,1.97
Croacia,Marruecos,2.75,1.93,1.91
Francia,Marruecos,2.25,1.98,1.92
Argentina,Croacia,2.25,2.04,1.835
Inglaterra,Francia,2.25,2.0,1.9
Marruecos,Portugal,2.5,2.014,1.778
Países Bajos,Argentina,2.25,2.075,1.805
Croacia,Brasil,2.5,1.902,1.894
Portugal,Suiza,2.5,1.89,1.914
Marruecos,España,2.25,1.87,2.055
Brasil,Corea del Sur,2.75,1.83,2.095
Japón,Croacia,2.25,2.025,1.875
Inglaterra,Senegal,2.25,2.04,1.835
Francia,Polonia,2.75,1.97,1.93
Argentina,Australia,2.75,1.99,1.88
Países Bajos,EE. UU.,2.25,2.005,1.895
Camerún,Brasil,2.75,1.82,2.105
Serbia,Suiza,2.5,1.93,1.8767
Corea del Sur,Portugal,2.5,1.966,1.828
Ghana,Uruguay,2.5,2.014,1.792
Costa Rica,Alemania,3.75,2.045,1.83
Japón,España,2.5,1.8617,1.96
Croacia,Bélgica,2.5,2.0067,1.8017
Canadá,Marruecos,2.25,2.03,1.97
Arabia Saudí,México,2.5,1.918,1.887
Polonia,Argentina,2.5,2.0433,1.7633
Australia,Dinamarca,2.5,1.91,1.888
Túnez,Francia,2.25,1.89,2.02
Gales,Inglaterra,2.5,1.99,1.812
Irán,EE. UU.,2.25,1.905,2.005
Países Bajos,Catar,3.25,1.965,1.935
Ecuador,Senegal,2.0,1.98,1.92
Portugal,Uruguay,2.25,1.97,1.935
Brasil,Suiza,2.25,1.85,2.065
Corea del Sur,Ghana,2.25,2.04,1.835
Camerún,Serbia,2.25,1.835,2.04
España,Alemania,2.75,2.03,1.875
Croacia,Canadá,2.25,1.89,2.025
Bélgica,Marruecos,2.25,1.995,1.905
Japón,Costa Rica,2.5,2.0683,1.7567
Argentina,México,2.25,1.87,2.045
Francia,Dinamarca,2.25,1.89,2.025
Polonia,Arabia Saudí,2.25,1.99,1.91
Túnez,Australia,2.25,1.975,1.925
Inglaterra,EE. UU.,2.5,1.9967,1.8033
Países Bajos,Ecuador,2.25,2.095,1.795
Catar,Senegal,2.25,2.025,1.875
Gales,Irán,2.25,2.055,1.82
Brasil,Serbia,2.75,1.96,1.945
Portugal,Ghana,2.75,1.885,2.02
Uruguay,Corea del Sur,2.25,1.945,1.96
Suiza,Camerún,2.25,1.98,1.92
Bélgica,Canadá,2.75,1.985,1.915
España,Costa Rica,3.25,2.01,1.865
Alemania,Japón,3.0,1.90,2.00
Marruecos,Croacia,2.25,1.945,1.96
Francia,Australia,3.0,1.97,1.935
México,Polonia,2.25,2.0,1.905
Dinamarca,Túnez,2.25,1.875,2.04
Argentina,Arabia Saudí,3.0,1.9,2.015
EE. UU.,Gales,2.25,2.005,1.89
Senegal,Países Bajos,2.25,1.975,1.93
Inglaterra,Irán,2.25,1.96,1.94
Catar,Ecuador,2.0,1.89,2.02
Francia,Croacia,2.0,2.05,1.88
Bélgica,Inglaterra,3.0,2.05,1.88
Croacia,Inglaterra,2.0,2.15,1.8
Francia,Bélgica,2.5,2.095,1.7575
Rusia,Croacia,2.0,1.86,2.07
Suecia,Inglaterra,2.0,1.78,2.19
Brasil,Bélgica,2.5,1.7975,2.0275
